Open,Close,High,Low,Volume,Date
851.5,851.5,851.5,851.5,,10/31/20
852,851.5,862,845,,10/30/20
873,851.5,877.5,846.5,,10/29/20
879.5,873.5,890,859,,10/28/20
876.5,879,889,873,,10/27/20
903,876.5,905,871.5,,10/26/20
906.5,903.5,907.5,902.5,,10/25/20
887.5,906.5,920,883,,10/23/20
891.5,885.5,894,863.5,,10/22/20
878.5,888.5,896.5,875,,10/21/20
860.5,878.5,883.5,853.5,,10/20/20
866,865,880.5,854,,10/19/20
866.5,865,866.5,865,,10/18/20
869,866.5,880.5,859.5,,10/16/20
861,868.5,870,842.5,,10/15/20
870,860,880,858,,10/14/20
878,869.5,881,862,,10/13/20
886.5,876.5,890,868.5,,10/12/20
891,891,892,891,,10/11/20
868.5,891,898,867,,10/09/20
869,868.5,876.5,859.5,,10/08/20
854,868,871.5,851,,10/07/20
901.5,855,904,850,,10/06/20
887,898.5,902.5,875.5,,10/05/20
884.5,884.5,884.5,884.5,,10/04/20
899,884.5,902,881.5,,10/02/20
895,900,911,889.5,,10/01/20
889,892.5,907,869.5,,09/30/20
885,889.5,894,875,,09/29/20
856.5,885,888.5,849.5,,09/28/20
852,849,852,849,,09/27/20
851,852,866,836,,09/25/20
843.5,853,854.5,830.5,,09/24/20
870,844,881,838.5,,09/23/20
887,868.5,897,863.5,,09/22/20
931,886,944.5,855,,09/21/20
934.5,933,934.5,933,,09/20/20
938.5,934.5,950.5,930.5,,09/18/20
974,937.5,975,925.5,,09/17/20
976,975,987.5,967.5,,09/16/20
959.5,976.5,982,959,,09/15/20
931,958.5,962.5,931,,09/14/20
930.5,930.5,930.5,930.5,,09/12/20
930,930.5,945.5,925.5,,09/11/20
921.5,930,944,919,,09/10/20
903,923,926,900.5,,09/09/20
912.5,908,921,892,,09/08/20
905.5,911.5,913,901,,09/07/20
908.5,908,908.5,908,,09/06/20
893.5,908.5,915.5,890,,09/04/20
907.5,893,917.5,885,,09/03/20
943.5,909,948,898.5,,09/02/20
933,944.5,963.5,930.5,,09/01/20
935.5,933.5,942.5,926,,08/31/20
932.5,928,932.5,928,,08/30/20
932.5,932.5,932.5,932.5,,08/29/20
927.5,932.5,943.5,921,,08/28/20
936,925.5,951.5,908,,08/27/20
931.5,938,938,913.5,,08/26/20
920,930,938.5,918.5,,08/25/20
921,919.5,942.5,916,,08/24/20
921,919.5,921,919.5,,08/23/20
924,921,928.5,899.5,,08/21/20
937,924.5,948,909,,08/20/20
961.5,937,964,930.5,,08/19/20
954.75,966,974.5,942,,08/18/20
946.75,954.75,960.25,938.75,,08/17/20
947.25,950.25,950.25,947.25,,08/16/20
947.25,947.25,947.25,947.25,,08/15/20
961,947.25,967.5,941.25,,08/14/20
933,960.5,970,927.5,,08/13/20
938.5,931,962,916.5,,08/12/20
987.5,943.5,995,929.5,,08/11/20
964,991.5,1011.5,963,,08/10/20
966,964,966,964,,08/09/20
966,966,966,966,,08/08/20
1007,966,1011.5,947.5,,08/07/20
971.5,1001.5,1003.5,963.5,,08/06/20
943,970,982.5,928.5,,08/05/20
926.5,942,943,911,,08/04/20
914,924,925,900.5,,08/03/20
905.5,906.5,906.5,905,,08/02/20
905.5,905.5,905.5,905.5,,08/01/20
908,905.5,921.5,898,,07/31/20
930,907,931.5,883,,07/30/20
954.5,927,957,919.5,,07/29/20
951.5,953,971,907.5,,07/28/20
921.5,948.5,949.5,921,,07/27/20
921,922,922.5,921,,07/26/20
921,921,921,921,,07/25/20
920,921,930,895,,07/24/20
925.5,918,935,904.5,,07/23/20
886.5,925.5,926,873,,07/22/20
849,885.5,889,848.5,,07/21/20
841,850.5,854,835,,07/20/20
840.5,841.5,841.5,840.5,,07/19/20
840.5,840.5,840.5,840.5,,07/18/20
827.5,840.5,845,824,,07/17/20
837.5,827,841,818,,07/16/20
832.5,837.5,843,824.5,,07/15/20
832,830.5,836,815.5,,07/14/20
828.5,832,851.5,827,,07/13/20
825.5,829.5,829.5,825.5,,07/12/20
825.5,825.5,825.5,825.5,,07/11/20
837.5,825.5,847,823.5,,07/10/20
852.5,838.5,862.5,828,,07/09/20
840,852,858,837,,07/08/20
824,839,846,811.5,,07/07/20
813,822,836,810.5,,07/06/20
810,810.5,810.5,810,,07/05/20
811,810,818,807,,07/03/20
826.5,812.5,830.5,807,,07/02/20
830.5,825,839,808.5,,07/01/20
816.5,831,835,808,,06/30/20
806.5,816,823.5,805,,06/29/20
805.5,805.5,805.5,805.5,,06/27/20
806.5,805.5,812,794.5,,06/26/20
803.5,803,810.5,792.5,,06/25/20
831.5,794.5,835.5,794.5,,06/24/20
824.5,830,838,812,,06/23/20
814.5,825,839.5,808,,06/22/20
810.5,810.5,810.5,810.5,,06/21/20
810.5,810.5,810.5,810.5,,06/20/20
809.5,810.5,837.5,806,,06/19/20
823,807,828,801.5,,06/18/20
824.5,823,833.5,813.5,,06/17/20
