Open,Close,High,Low,Volume,Date
1575.35,1589.65,1590.5,1571.1,,1/31/2020
1575.45,1574.45,1586,1572.75,,1/30/2020
1569.1,1577.03,1577.9,1563.5,,1/29/2020
1580.7,1567.25,1582.95,1565.7,,1/28/2020
1581.3,1581.65,1586,1576.05,,1/27/2020
1571.85,1571.85,1571.85,1571.85,,1/26/2020
1562.4,1571.85,1575.7,1556.65,,1/24/2020
1558.65,1562.9,1567.9,1552.15,,1/23/2020
1557.7,1558.65,1559.3,1550.55,,1/22/2020
1560.95,1558.05,1568.65,1546.5,,1/21/2020
1558.7,1560.55,1562.8,1556.45,,1/20/2020
1557.3,1557.3,1557.3,1557.3,,1/19/2020
1557.3,1557.3,1557.3,1557.3,,1/18/2020
1552.45,1557.3,1561.25,1549.75,,1/17/2020
1555.5,1552.65,1558.05,1548.35,,1/16/2020
1546.7,1556.25,1558.05,1546.55,,1/15/2020
1548.6,1546.55,1548.95,1536.4,,1/14/2020
1560.15,1548.25,1560.65,1547.1,,1/13/2020
1562.34,1562.34,1562.34,1562.34,,1/12/2020
1553.3,1562.34,1563.2,1545.8,,1/10/2020
1555.35,1552.64,1561.3,1540.35,,1/9/2020
1578.05,1556.55,1611,1552.7,,1/8/2020
1564.75,1574.35,1577,1555.65,,1/7/2020
1569.3,1565.91,1579.5,1561,,1/6/2020
1528.5,1552.35,1553,1528.1,,1/3/2020
1519.95,1528.85,1531.3,1517.9,,1/2/2020
1514.85,1517.48,0,1514.85,,12/31/2019
1511.45,1514.85,1516,1510.9,,12/30/2019
1511,1511.4,1515.4,1507.5,,12/27/2019
1500.6,1510.81,1512.6,1497.95,,12/26/2019
1495.3,1495.45,1495.45,1495.3,,12/25/2019
1485.4,1499.55,1500.55,1485.35,,12/24/2019
1477.85,1485.45,1486.1,1477.65,,12/23/2019
0,1477.65,1477.65,0,,12/22/2019
1479.3,1478.05,1480.8,1476.05,,12/20/2019
1475.35,1479.1,1481.75,1473.4,,12/19/2019
1476.1,1475.74,1479.3,1470.7,,12/18/2019
1476.1,1476.33,1480.4,1474.4,,12/17/2019
1475,1475.85,1479.8,1473.35,,12/16/2019
1466.65,1475.9,1478.1,1463.15,,12/13/2019
1475,1469.5,1486.3,1465.1,,12/12/2019
1464.25,1474.6,1478.6,1462.8,,12/11/2019
1461.7,1464.16,1469.1,1460.15,,12/10/2019
1459.05,1461.45,1465.4,1459.05,,12/9/2019
1460.25,1460.25,1460.25,1460.25,,12/8/2019
1460.25,1460.25,1460.25,1460.25,,12/7/2019
1476.15,1460.25,1477,1459,,12/6/2019
1474.53,1476.05,1480.35,1472.9,,12/5/2019
1476.55,1474.45,1484,1471.5,,12/4/2019
1461.85,1477.6,1481.7,1460,,12/3/2019
1460.4,1462.75,1465.05,1454.2,,12/2/2019
1469.45,1469.4,1469.45,1469.4,,12/1/2019
1455.65,1463.9,1466.6,1453.15,,11/29/2019
1455.85,1456.15,1458.25,1454.55,,11/28/2019
1461.65,1454.63,1461.85,1452.8,,11/27/2019
1455.1,1461.35,1462.8,1451.3,,11/26/2019
1460.8,1455.44,1462.2,1454.1,,11/25/2019
1462.05,1462.05,1462.05,1462.05,,11/24/2019
1464.8,1462.05,1473.3,1461.8,,11/22/2019
1475.4,1464.35,1475.7,1462.85,,11/21/2019
1474.3,1471.36,1478.8,1466.2,,11/20/2019
1470.75,1472.55,1475.2,1465.15,,11/19/2019
1468.1,1471.45,1473.8,1456.6,,11/18/2019
1466.55,1466.55,1466.55,1466.55,,11/17/2019
1471.2,1466.55,1471.4,1462.7,,11/15/2019
1464.25,1471.06,1474.6,1461.2,,11/14/2019
