Open,Close,High,Low,Volume,Date
980.5,960,984.5,957,,1/31/2020
979,978,982.5,963.5,,1/30/2020
989.5,977,997,972.5,,1/29/2020
985.5,986,993.5,980.5,,1/28/2020
1008,987,1009.5,985,,1/27/2020
1007.5,1010,1010,1007.5,,1/26/2020
1006,1007.5,1018,1001.5,,1/24/2020
1015,1004,1022,998.5,,1/23/2020
1002.5,1016,1020,993,,1/22/2020
1022.5,1002,1027,991,,1/21/2020
1026.5,1021.5,1031.5,1010.5,,1/20/2020
1025,1024.5,1025,1024.5,,1/19/2020
1005,1025,1029.5,1003.5,,1/17/2020
1021.5,1004.5,1041.5,996.5,,1/16/2020
984,1022,1025.5,983.5,,1/15/2020
975,985,985,966,,1/14/2020
978.5,976,980,964.5,,1/13/2020
980,980.5,980.5,980,,1/12/2020
969,980,984,963,,1/10/2020
954,968.5,971.5,948,,1/9/2020
970.5,953,976,952.5,,1/8/2020
963.5,970,976,956.5,,1/7/2020
988.5,963.5,992.5,955.5,,1/6/2020
982,984,984,982,,1/5/2020
978.5,982,994,978.5,,1/3/2020
968.5,979,991.5,965.5,,1/2/2020
965,965,965,965,,1/1/2020
958,965.5,984,957,,12/31/2019
946.5,958,961.5,945.5,,12/30/2019
947,947.5,947.5,947,,12/29/2019
947,947,955,943.5,,12/27/2019
945,947.5,962,939.5,,12/26/2019
946.5,946,946.5,946,,12/25/2019
936,945,947,930,,12/24/2019
911,936,939.5,910.5,,12/23/2019
910.5,910,910.5,909.5,,12/22/2019
935,910.5,937.5,909,,12/20/2019
935.5,936,939.5,926.5,,12/19/2019
927.5,936,936.5,923.5,,12/18/2019
929.5,928.5,934,919.5,,12/17/2019
927.5,929,935.5,926,,12/16/2019
928,929.5,929.5,928,,12/15/2019
947.5,928,947.5,923,,12/13/2019
941,945,948.5,936,,12/12/2019
922,938.5,945,914,,12/11/2019
896,921.5,924,894.5,,12/10/2019
895.5,895.5,901,889,,12/9/2019
897,897,897,897,,12/8/2019
897,897,897,897,,12/7/2019
897.5,897,901.5,891.5,,12/6/2019
896.5,898,902,884.5,,12/5/2019
910,895.5,916,895,,12/4/2019
898.5,910,912,896.5,,12/3/2019
896,898,905,891.5,,12/2/2019
896,897,897,896,,12/1/2019
893.5,896,902,892,,11/29/2019
896,892.5,897.5,889,,11/28/2019
908.5,895.5,908.5,889.5,,11/27/2019
897,909,916.5,894,,11/26/2019
890.5,898,900.5,889.5,,11/25/2019
891.5,891.5,891.5,891.5,,11/24/2019
915.5,891.5,916.5,886,,11/22/2019
918.5,916,927.5,911,,11/21/2019
912,918,920,907,,11/20/2019
894.5,911.5,912.5,894,,11/19/2019
891,895,899.5,880,,11/18/2019
891,891,893,890,,11/17/2019
882,891,897.5,876,,11/15/2019
876,882,885,871,,11/14/2019
869.5,876.5,877.5,868.5,,11/13/2019
876,868.5,881,866,,11/12/2019
888.5,878,892,874,,11/11/2019
887.5,887,887.5,887,,11/10/2019
909,887.5,910.5,887.5,,11/8/2019
928.5,910,934,904,,11/7/2019
928.5,929.5,933,922.5,,11/6/2019
937.5,929,939.5,924.5,,11/5/2019
952,940,956,932.5,,11/4/2019
951,951.5,951.5,951,,11/3/2019
933.5,951,955.5,930.5,,11/1/2019
925.5,933,939.5,923.5,,10/31/2019
921.5,926,928,915.5,,10/30/2019
919,921,922.5,909.5,,10/29/2019
927,919,934,914,,10/28/2019
927,927,927,926,,10/27/2019
923,927,940,923,,10/25/2019
918,924.5,933,918,,10/24/2019
892,917.5,920.5,890.5,,10/23/2019
889,893.5,893.5,886,,10/22/2019
892.5,888.5,899,885.5,,10/21/2019
891.5,889.5,892.5,889.5,,10/20/2019
888.5,891.5,894.5,883.5,,10/18/2019
887,890.5,890.5,881,,10/17/2019
885,886,890.5,876,,10/16/2019
894,884.5,901.5,882.5,,10/15/2019
895,895.5,901,890,,10/14/2019
894.5,895,895,894.5,,10/13/2019
898,894.5,905.5,884.5,,10/11/2019
892,901,903.5,883,,10/10/2019
890.5,893.5,896.5,882.5,,10/9/2019
879,890.5,892.5,877,,10/8/2019
882.5,878.5,889,875,,10/7/2019
881.5,881,881.5,881,,10/6/2019
890.5,881.5,890.5,872.5,,10/4/2019
888.5,891,899.5,886.5,,10/3/2019
878.5,890,893,870.5,,10/2/2019
884.5,878,888.5,875,,10/1/2019
933.5,884.5,935.5,875.5,,9/30/2019
931,931,931,931,,9/29/2019
930,931,937,921,,9/27/2019
927,931,938,926.5,,9/26/2019
955.5,927.5,958.5,924.5,,9/25/2019
959,955,963,948.5,,9/24/2019
947,958.5,962.5,946,,9/23/2019
946.5,945.5,946.5,945.5,,9/22/2019
938.5,946.5,949,937,,9/20/2019
931.5,940,943,923.5,,9/19/2019
941,932,943.5,922.5,,9/18/2019
938,943.5,945.5,931,,9/17/2019
956.5,939,960,929,,9/16/2019
950.5,948.5,964,946.5,,9/13/2019
944.5,951.5,960.5,943,,9/12/2019
931.5,943.5,946,930,,9/11/2019
946.5,930.5,947,928.5,,9/10/2019
947.5,947,962,943.5,,9/9/2019
950.25,948.75,956.75,948.75,,9/8/2019
958.25,950.25,963.75,927.25,,9/6/2019
984.25,961.75,997.25,947.25,,9/5/2019
957.75,985.75,990.75,957.25,,9/4/2019
928.75,958.25,960.75,927.25,,9/3/2019
933.75,929.25,939,924.75,,9/2/2019
933.25,933.25,933.25,933.25,,9/1/2019
916.25,933.25,940.25,913.25,,8/30/2019
901.75,916.25,936.25,895.25,,8/29/2019
866.1,903.75,908.75,866.1,,8/28/2019
856.6,866.6,869.1,855.1,,8/27/2019
860,856.1,867,853.1,,8/26/2019
858.6,857,858.6,857,,8/25/2019
858.1,858.6,870.1,851.1,,8/23/2019
852.6,857.6,861.1,845.6,,8/22/2019
849.1,852.6,856.6,841.1,,8/21/2019
853,849.6,856.6,845,,8/20/2019
850.5,852.5,858.75,843.75,,8/19/2019
849.5,849.5,849.5,849.5,,8/18/2019
841,849.5,851.5,832.5,,8/16/2019
846.5,840,847.5,833,,8/15/2019
854.5,845.5,855.5,843,,8/14/2019
858,854.5,867,838.5,,8/13/2019
860.5,857.5,863,853.5,,8/12/2019
861.5,861,861.5,861,,8/11/2019
866,861.5,869,858.5,,8/9/2019
863.5,865.5,870,851.5,,8/8/2019
852.5,864.5,870,846.5,,8/7/2019
856,852.5,859,844,,8/6/2019
845.5,855.5,859.5,842.5,,8/5/2019
845,845,845,845,,8/4/2019
853,845,858,842,,8/2/2019
866,853.5,866,842.5,,8/1/2019
871.5,864.5,879,862.5,,7/31/2019
881,871.5,883,868,,7/30/2019
867,881,883,865,,7/29/2019
865,865,865,865,,7/28/2019
868,865,870.5,860,,7/26/2019
878,867.5,886,866.5,,7/25/2019
857,878,878.5,855.5,,7/24/2019
848.5,856.5,859,844.5,,7/23/2019
846,849,853,845,,7/22/2019
846,846,846,846,,7/21/2019
854.5,846,862,846,,7/19/2019
845.5,854,854,844,,7/18/2019
840.5,845.5,851,834.5,,7/17/2019
843,840.5,851.5,837.5,,7/16/2019
830.5,842.5,846.5,828.5,,7/15/2019
830,830,830,830,,7/14/2019
823,830,831,816.5,,7/12/2019
826.5,823,832,822,,7/11/2019
811,827,828.5,807.5,,7/10/2019
816,811,816,805.5,,7/9/2019
809.5,816.5,819.5,807,,7/8/2019
809.5,809.5,809.5,809.5,,7/7/2019
835.5,809.5,838.5,804.5,,7/5/2019
840.5,834.5,841.5,833,,7/4/2019
831.5,839,843.5,828.5,,7/3/2019
833,830,839,824.5,,7/2/2019
830.5,832.5,847.5,830.5,,7/1/2019
835.5,836,836,835.5,,6/30/2019
814.5,835.5,840.5,814,,6/28/2019
814.5,814,818,808,,6/27/2019
809,816.5,820,804.5,,6/26/2019
815,811,821,808,,6/25/2019
810.5,815,816,808.5,,6/24/2019
