Open,Close,High,Low,Volume,Date
17.855,18.03875,18.09375,17.79625,,1/31/2020
17.54375,17.8375,18.04125,17.54375,,1/30/2020
17.5175,17.5575,17.59125,17.38875,,1/29/2020
18.08375,17.355,18.12,17.355,,1/28/2020
18.27125,18.10425,18.33875,18.04875,,1/27/2020
17.80375,18.12,18.1475,17.75125,,1/24/2020
17.84,17.4925,17.91375,17.4925,,1/23/2020
17.795,17.4925,17.9275,17.4925,,1/22/2020
18.07375,17.525,18.15125,17.525,,1/21/2020
18.04375,18.0675,18.12875,18.00125,,1/20/2020
16.0075,16.0075,16.0075,16.0075,,1/19/2020
17.9475,18.0375,18.17125,17.91125,,1/17/2020
17.99125,17.94225,18.04875,17.875,,1/16/2020
17.80375,18.005,18.0375,17.75,,1/15/2020
17.96,17.79925,17.965,17.68375,,1/14/2020
18.075,17.9575,18.09125,17.93,,1/13/2020
17.91875,18.105,18.15375,17.85125,,1/10/2020
18.09625,17.905,18.205,17.81,,1/9/2020
18.425,18.10425,18.8025,18.05875,,1/8/2020
18.15125,18.4075,18.44,17.96375,,1/7/2020
18.2475,17.96,18.48875,17.96,,1/6/2020
18.005,18.005,18.005,18.005,,1/5/2020
18.015,18.005,18.26625,18,,1/3/2020
17.91,18.0275,18.0975,17.79125,,1/2/2020
17.92375,17.855,18.145,17.825,,12/31/2019
17.78375,17.605,17.9625,17.605,,12/30/2019
17.76425,17.76425,17.76425,17.76425,,12/29/2019
17.90375,17.76425,17.96875,17.74875,,12/27/2019
17.76375,17.905,18.05,17.74125,,12/26/2019
17.44375,17.775,17.785,17.38,,12/24/2019
17.18875,17.615,17.615,17.18625,,12/23/2019
17.20625,17.20625,17.20625,17.20625,,12/22/2019
17.06625,17.20625,17.25625,17.0325,,12/20/2019
17.015,17.06475,17.1275,16.90625,,12/19/2019
17.01,17.0175,17.07,16.89,,12/18/2019
17.03375,17.015,17.11,16.97125,,12/17/2019
16.9475,17.04125,17.0875,16.9075,,12/16/2019
16.945,16.945,16.945,16.945,,12/15/2019
16.92125,16.945,17.02625,16.85,,12/13/2019
16.8725,16.93275,17.115,16.78375,,12/12/2019
16.66875,16.8575,16.9625,16.60375,,12/11/2019
16.61,16.8775,16.8775,16.58,,12/10/2019
16.5525,16.6025,16.6825,16.53,,12/9/2019
