Open,Close,High,Low,Volume,Date
851.5,851.5,851.5,851.5,,2020-10-31
852,851.5,862,845,,2020-10-30
873,851.5,877.5,846.5,,2020-10-29
879.5,873.5,890,859,,2020-10-28
876.5,879,889,873,,2020-10-27
903,876.5,905,871.5,,2020-10-26
906.5,903.5,907.5,902.5,,2020-10-25
887.5,906.5,920,883,,2020-10-23
891.5,885.5,894,863.5,,2020-10-22
878.5,888.5,896.5,875,,2020-10-21
860.5,878.5,883.5,853.5,,2020-10-20
866,865,880.5,854,,2020-10-19
866.5,865,866.5,865,,2020-10-18
869,866.5,880.5,859.5,,2020-10-16
861,868.5,870,842.5,,2020-10-15
870,860,880,858,,2020-10-14
878,869.5,881,862,,2020-10-13
886.5,876.5,890,868.5,,2020-10-12
891,891,892,891,,2020-10-11
868.5,891,898,867,,2020-10-09
869,868.5,876.5,859.5,,2020-10-08
854,868,871.5,851,,2020-10-07
901.5,855,904,850,,2020-10-06
887,898.5,902.5,875.5,,2020-10-05
884.5,884.5,884.5,884.5,,2020-10-04
899,884.5,902,881.5,,2020-10-02
895,900,911,889.5,,2020-10-01
889,892.5,907,869.5,,2020-09-30
885,889.5,894,875,,2020-09-29
856.5,885,888.5,849.5,,2020-09-28
852,849,852,849,,2020-09-27
851,852,866,836,,2020-09-25
843.5,853,854.5,830.5,,2020-09-24
870,844,881,838.5,,2020-09-23
887,868.5,897,863.5,,2020-09-22
931,886,944.5,855,,2020-09-21
934.5,933,934.5,933,,2020-09-20
938.5,934.5,950.5,930.5,,2020-09-18
974,937.5,975,925.5,,2020-09-17
976,975,987.5,967.5,,2020-09-16
959.5,976.5,982,959,,2020-09-15
931,958.5,962.5,931,,2020-09-14
930.5,930.5,930.5,930.5,,2020-09-12
930,930.5,945.5,925.5,,2020-09-11
921.5,930,944,919,,2020-09-10
903,923,926,900.5,,2020-09-09
912.5,908,921,892,,2020-09-08
905.5,911.5,913,901,,2020-09-07
908.5,908,908.5,908,,2020-09-06
893.5,908.5,915.5,890,,2020-09-04
907.5,893,917.5,885,,2020-09-03
943.5,909,948,898.5,,2020-09-02
