Open,Close,High,Low,Volume,Date
24.7375,24.7375,24.7375,24.7375,,2020-10-31
23.28175,24.7375,24.7375,23.17275,,2020-10-30
23.39875,23.2475,23.57075,22.5975,,2020-10-29
24.29875,23.40375,24.5675,23.04,,2020-10-28
24.30125,24.26625,24.60125,24.2275,,2020-10-27
24.30125,24.3,24.56125,24.12625,,2020-10-26
25.495,24.40875,25.495,24.405,,2020-10-25
24.72875,25.495,25.495,24.43,,2020-10-23
25.04625,24.7245,25.08625,24.38875,,2020-10-22
24.74,25.045,25.27,24.68875,,2020-10-21
24.37625,24.635,24.92375,24.33875,,2020-10-20
24.21125,24.3975,24.94975,24.12375,,2020-10-19
24.7875,24.7875,24.7875,24.7875,,2020-10-18
24.33125,23.7525,24.5075,23.7525,,2020-10-16
24.27375,24.27975,24.3075,23.615,,2020-10-15
24.2175,24.7875,24.7875,23.90675,,2020-10-14
25.1575,24.15375,25.19875,23.94,,2020-10-13
25.08325,25.105,25.57,24.8425,,2020-10-12
24.2125,24.2125,24.2125,24.2125,,2020-10-11
23.8725,24.2125,25.17875,23.8325,,2020-10-09
23.81375,23.84,24.1925,23.66825,,2020-10-08
23.12625,23.8075,23.9575,23.08375,,2020-10-07
24.3825,23.065,24.48625,22.92,,2020-10-06
23.8575,24.4875,24.6925,23.68875,,2020-10-05
23.725,23.725,23.725,23.725,,2020-10-04
23.78375,23.725,24.1825,23.48575,,2020-10-02
23.32625,24.0475,24.15325,23.24125,,2020-10-01
24.26125,23.2375,24.31125,23.1575,,2020-09-30
23.7025,24.20225,24.395,23.3975,,2020-09-29
23.0525,22.9975,23.72075,22.555,,2020-09-28
23.2375,23.2375,23.2375,23.2375,,2020-09-27
23.1875,23.2375,23.29125,22.48875,,2020-09-25
22.87875,23.17725,23.33175,21.66825,,2020-09-24
24.4225,22.7775,24.4675,22.60925,,2020-09-23
24.83175,24.38875,25.19225,23.8685,,2020-09-22
26.70625,24.895,26.9575,23.83625,,2020-09-21
27.2875,27.2875,27.2875,27.2875,,2020-09-20
27.01875,27.2875,27.2875,26.70375,,2020-09-18
27.175,27.0495,27.2075,26.3275,,2020-09-17
27.16125,27.4875,27.4875,26.9,,2020-09-16
27.15,27.5475,27.61675,27.03325,,2020-09-15
26.6925,27.1175,27.29475,26.685,,2020-09-14
26.75075,26.75075,26.75075,26.75075,,2020-09-12
26.91775,26.75075,27.0285,26.59,,2020-09-11
26.98875,26.8825,27.4775,26.69875,,2020-09-10
26.6325,26.97175,27.12575,26.41925,,2020-09-09
26.89875,26.665,27.1,25.855,,2020-09-08
26.9,26.55925,27.1475,26.525,,2020-09-07
26.9925,26.9925,26.9925,26.9925,,2020-09-06
26.64625,26.9925,27.00075,26.34,,2020-09-04
27.4275,26.6025,27.7025,26.49375,,2020-09-03
28.05225,27.4475,28.31225,27.07875,,2020-09-02
28.18075,28.11,28.8925,27.718,,2020-09-01
27.6375,28.1375,28.35325,27.61825,,2020-08-31
27.495,27.495,27.495,27.495,,2020-08-30
27.495,27.495,27.495,27.495,,2020-08-29
27.02625,27.495,27.7075,26.8425,,2020-08-28
27.44325,27.01525,27.8925,26.53575,,2020-08-27
26.54075,27.50975,27.50975,26.13375,,2020-08-26
26.6325,26.535,26.79,26.1075,,2020-08-25
26.6925,26.3125,27.2325,26.275,,2020-08-24
25.9125,25.93725,25.93725,25.9125,,2020-08-23
27.28625,25.9125,27.53625,25.9125,,2020-08-21
26.78375,26.835,27.50625,26.6075,,2020-08-20
27.80125,26.7125,28.00125,26.5025,,2020-08-19
27.44125,28.8925,28.8925,27.12875,,2020-08-18
26.59,27.4975,27.56375,25.86875,,2020-08-17
26.4475,26.4475,26.4475,26.4475,,2020-08-16
26.4475,26.4475,26.4475,26.4475,,2020-08-15
27.40375,26.4475,27.69375,25.82425,,2020-08-14
25.74125,27.52825,27.65325,25.30625,,2020-08-13
25.34625,25.12,26.29,23.5025,,2020-08-12
29.01375,24.7975,29.25125,24.54375,,2020-08-11
28.20725,28.61,29.385,27.83125,,2020-08-10
28.2975,28.2975,28.2975,28.2975,,2020-08-09
28.2975,28.2975,28.2975,28.2975,,2020-08-08
29.14225,28.2975,29.8425,27.45225,,2020-08-07
27.0625,29.425,29.425,26.82125,,2020-08-06
26.0625,26.9425,27.115,25.52125,,2020-08-05
24.39375,26.0075,26.01575,24.155,,2020-08-04
24.765,23.5125,24.82125,23.5125,,2020-08-03
24.4425,24.4425,24.4425,24.4425,,2020-08-02
24.4425,24.4425,24.4425,24.4425,,2020-08-01
23.5225,24.4425,24.46875,23.29625,,2020-07-31
24.375,23.495,24.38625,22.97125,,2020-07-30
24.49375,24.31375,24.90925,23.44,,2020-07-29
24.735,24.4025,26.15125,22.41125,,2020-07-28
22.84425,24.585,24.6,22.84425,,2020-07-27
22.79,22.79,22.79,22.79,,2020-07-26
22.79,22.79,22.79,22.79,,2020-07-25
22.68,22.79,22.91075,22.43125,,2020-07-24
23.2375,22.225,23.2375,22.2125,,2020-07-23
21.29,22.9925,23.0425,21.29,,2020-07-22
19.9,21.29,21.3215,19.86125,,2020-07-21
19.325,19.91375,19.9225,19.24775,,2020-07-20
19.335,19.075,19.335,19.0125,,2020-07-19
19.335,19.335,19.335,19.335,,2020-07-18
19.16,19.335,19.39125,18.91775,,2020-07-17
19.4675,19.1175,19.4675,19.09425,,2020-07-16
18.8625,19.19475,19.78,18.8625,,2020-07-15
19.08625,18.8125,19.29075,18.8125,,2020-07-14
18.76125,19.065,19.3825,18.74,,2020-07-13
18.72425,18.72425,18.72425,18.72425,,2020-07-12
18.72425,18.72425,18.72425,18.72425,,2020-07-11
18.645,18.72425,18.80175,18.4925,,2020-07-10
18.755,18.6475,19.05,18.5075,,2020-07-09
18.25375,18.715,18.76675,18.25175,,2020-07-08
18.28925,18.32,18.36125,17.995,,2020-07-07
18.02825,18.1675,18.395,17.945,,2020-07-06
18.0475,17.5075,18.0475,17.5075,,2020-07-05
17.9525,18.0475,18.07125,17.9375,,2020-07-03
18.0425,17.94625,18.1175,17.7925,,2020-07-02
18.2025,17.515,18.435,17.515,,2020-07-01
17.835,17.515,18.24075,17.515,,2020-06-30
17.8275,17.855,17.95125,17.6875,,2020-06-29
17.80375,17.80375,17.80375,17.80375,,2020-06-27
17.765,17.80375,17.93375,17.49575,,2020-06-26
17.50625,17.865,17.865,17.4475,,2020-06-25
17.94625,17.865,18.07125,17.4335,,2020-06-24
17.7275,17.775,18.01,17.66975,,2020-06-23
17.70125,17.72,18.0225,17.66675,,2020-06-22
17.6225,17.6225,17.6225,17.6225,,2020-06-21
17.6225,17.6225,17.6225,17.6225,,2020-06-20
17.37875,17.6225,17.80675,17.36675,,2020-06-19
17.48325,17.3675,17.6725,17.313,,2020-06-18
17.44625,17.52775,17.605,17.33875,,2020-06-17
17.4075,17.635,17.635,17.2825,,2020-06-16
17.47375,17.3975,17.53525,16.94875,,2020-06-15
17.49125,17.49125,17.49125,17.49125,,2020-06-14
17.49125,17.49125,17.49125,17.49125,,2020-06-13
17.66625,17.49125,17.74075,17.39575,,2020-06-12
18.15375,17.65,18.16,17.47825,,2020-06-11
17.5725,18.125,18.17725,17.545,,2020-06-10
17.4445,17.55,17.7725,17.4445,,2020-06-09
17.32875,17.78875,17.8,17.3275,,2020-06-08
17.41,17.41,17.41,17.41,,2020-06-07
17.41,17.41,17.41,17.41,,2020-06-06
17.72375,17.41,17.7575,17.22125,,2020-06-05
17.65375,17.7075,17.843,17.4725,,2020-06-04
18.0625,17.495,18.07,17.4875,,2020-06-03
18.29,18.0775,18.37175,17.79575,,2020-06-02
18.0125,18.2925,18.38925,18.0125,,2020-06-01
17.87,17.87,17.87,17.87,,2020-05-30
17.3975,17.87,17.90925,17.26875,,2020-05-29
17.2825,17.365,17.50425,17.18725,,2020-05-28
17.155,17.2675,17.35625,16.85325,,2020-05-27
17.09125,17.14,17.45,17.03275,,2020-05-26
17.15125,16.5375,17.17875,16.53,,2020-05-25
17.2075,17.2075,17.2075,17.2075,,2020-05-24
17.11375,17.2075,17.2325,16.74625,,2020-05-22
